user,tweet
boytoktil,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
fllaj_lobar,"FLLAJ OPEN DONASI BAGI KORBAN BENCANA BANJIR DAN TANAH LONGSOR DI KABUPATEN LOMBOK BARAT, NTB https://t.co/6V0ZI3Uia3"
GcaJusuf,"RT @DPP_PPP: Respon Cepat Satgas Becana LIGANA DPP PPP Membantu Korban Bencana Banjir Dan Longsor di Lombok NTB

Semoga sedikit membantu ma…"
imtjwise,"Semua Wilayah di Sulawesi sih ini kena musibah.  Ombak besar mengakibatkan Banjir Rob di sejumlah sekitar wilayah pesisir pantai, kapal/perahu rusak bahkan rumah di pesisir dihantam ombak besar.
Lain lagi banjir dan tanah longsor karena hujan tidak ada henti, Makassar Majene https://t.co/1QNatS4XvM"
Ashshiddiqy117,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
bisnisjatengdiy,Warga Jateng Diminta Waspada Bencana Banjir dan Longsor. https://t.co/68vnrF39Zq https://t.co/vE7NF9pvpU
GitaWidyasanty,"RT @DPP_PPP: Respon Cepat Satgas Becana LIGANA DPP PPP Membantu Korban Bencana Banjir Dan Longsor di Lombok NTB

Semoga sedikit membantu ma…"
KabarSiang,4 Jembatan di NTB Putus Diterjang Banjir dan Longsor https://t.co/xspi0jDn87 #Banjirntb
dangauteduh,"RT @murtado_zaki: sok NASIHATI rakyat untuk TANAM POHON agar tidak terjadi LONGSOR &amp; BANJIR

padahal dia yg GUNDULI HUTAN akhirnya jadi ben…"
akunovitania,"Terutama di daerah yang sering banjir dan longsor tweeps. Mudah mudahan ya, jadi bantu cegah musibah, yok dukung yok!"
nawandra,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
jonathansurbak1,"Tanggul Bengawan Solo Longsor 70 Meter, 2 Kecamatan di Bojonegoro Terancam Banjir https://t.co/yW9OoZHRXS"
tarjo20136141,"@Gojekmilitan LGBT : Longsor, Gempa, Banjir, Tsunami luuuuu mau dukung GOBLOK"
kotAtlas,"Cuaca hari ini, berawan dan cerah, semalem hujan deras.  Terlalu cepat  berubah ya cuaca sekarang.
Banyak bencana yg terjadi juga akibat perubahan iklim ini seperti banjir, longsor. https://t.co/owH2awyPSo"
KasanMulyono,"Banjir di Lombok, Pusuk Terisolir Total Akibat Bencana Longsor https://t.co/hgOeREK3db #Lombok"
RohmansahRoi,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
SManikmoyo,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
jizz62,"Semoga kolaborasi antara Kementerian PUPR dan Kementerian LHK mampu mencegah terjadinya banjir termasuk tanah longsor dimasa yang akan datang, komitmen penuh dari Pemerintah akan adanya perubahan iklim yg terjadi."
Desty007,"Fungsi pusat persemaian, bibit pohon sengon, jati dan mahoni akan dirawat hingga usia delapan bulan. Kemudian, tanaman ini akan didistribusikan ke wilayah yang rawan bencana akibat perubahan iklim, seperti daerah rawan longsor, banjir, dan lahan-lahan kritis lainnya https://t.co/LPNrLGfAf3"
AdeRestiana8,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
KhairulUsman15,"Banjir/longsor yg menimp bgs Indo, sbg negara berfalsafah Pancasila,  pemerintah/ulama segera #TaubatNasional, apa yg menimpa bangsa ini tdk lain adh hasil  kedholiman bgs Indo,  kejujuran u istigfar adh keniscayaan disadari bertaubat, Atau menunggu musibah yg lebih besar? https://t.co/sIfNGWS1i3"
fahroeddin,"RT @Jogja_Uncover: 1 bulan menuju equinox. pancaroba tiba, banyak puting beliung, banjir, tanah longsor hingga musim berganti. 

Tak perlu…"
hallo_wulandari,"Pemerintah udh siapain persemaian modern utk menyiapkan bibit pohon jati, sengon, akasia, eucalyptus buat ditanam di lahan2 krisis yg rawan banjir atau pun longsor tahun depan https://t.co/XsxV8Xc5kT"
muhamma34537100,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
DhaLa_1,"Bibit yang disemai dan tumbuh menjadi, tanaman akan dituai dan ditanam kembali pada tempat-tempat rawan bencana yang sering longsor dan banjir,” https://t.co/OG4aVAuLDB"
Desty007,"Cuaca lagi gak menentu, saat ini di tempat saya tinggal cuaca sedang cerah, padahal kemarin dari pagi sampai sore mendung dan gerimis, bagaimana di tempat kalian tinggal teman-teman?
Kalian tau ga kalau banjir dan longsor yg terjadi saat ini terkait dengan perubahan iklim? https://t.co/lDyDC3nKKz"
hallo_wulandari,"Btw, Tebs udah beberapa hari ini hujan mulu nih, bahkan awet nih dari semalem sampe sekarang belom berhenti.

Tempatmu gimana guys? Aman? Semoga g ada banjir atau longsor ya kalau curah hujan udah mulai tinggi gini. Aamiin"
ABYBYO,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
jizz62,Yg nantinya bibit-bibit unggul yg dihasilkan di persemaian rumpin akan ditanamkan di daerah yang sering banjir dan longsor
Abdul_Makin08,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Fauzi_21_,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
albert_pras,"RT @Jogja_Uncover: 1 bulan menuju equinox. pancaroba tiba, banyak puting beliung, banjir, tanah longsor hingga musim berganti. 

Tak perlu…"
Polres_balangan,"Kesiap siagaan personil Satgas tanggap Bencana Kab. Balangan di Posko darurat Bencana, dihimbau kepada warga Kab. Balangan untuk tetap menjaga kebersihan lingkungan yang dapat mengakibatkan Bencana seperti Banjir dan tanah longsor. https://t.co/Knk4N7ZnDo"
YRuhiyat3,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
02fc71ba00c2451,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
CampHainan,"RT @rumahrakyat77: Alhamdullilah hujan reda.
Ini adalah kondisi jembatan utama penghubung dri kota Mataram menju wisata Senggigi dimana jem…"
AlvaFila,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
jalawincytixx,"akhir2 ini ,hari demi hari terasa menakutkan..
ancaman bahaya bencana alam dimana mana..
banjir 
gempa bumi 
tanah longsor 
dll
Bumi sudah tua,sudah lelah..
semoga kita semua selalu dalam perlindungan-NYA......aamiin"
DakwahOnline114,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
tomipurba,kenapa ada persemaian rumpin? jadi pada tau gak sich bencana alam banjir dan tanah longsor ini terjadi salah satunya karena perubahan iklim yang ekstrim. Makanya pemerintah ingin menjaga semua dengan melakukan persemaian besar https://t.co/KIZp2sM5ZY
pembela230,@tvOneNews Kenapa presiden gak mau ke lokasi banjir dan longsor?
diazbela,"Jadi, di pusat persemaian itu ditanam bibit-bibit tumbuhan yang memiliki fungsi ekologi yang nantinya bisa didistribusikan ke lokasi atau wilayah yang sering mengalami bencana banjir dan tanah longsor!"
diazbela,"Mungkin semua orang udah pada tahu ya kalau perubahan iklim itu adalah hal serius yang harus ditangani. Salah satu contohnnya aja nih, dengan adanya perubahan cuaca yang ekstrim, berdampak juga pada bencana seperti longsor dan banjir. https://t.co/R8ac9oKnZg"
pembela230,"@CNNIndonesia Presiden kok pilih pilih jenis bencana. Banjir dan longsor       dicuekin, malu dengan pidato ya pakde."
Lania_Rizky,bibit-bibit yang diproduksi di persemaian modern Rumpin oleh pemerintah melalui kemen LHK akan didistribusikan ke lokasi atau wilayah yang sering mengalami bencana banjir dan tanah longsor. https://t.co/6pBgUXIuKi
ulah0909,"RT @bangzul_ntb: Sore ini di Lokasi Banjir di Batu Layar Lombok Barat. Di Lokasi bersama Ibu Wakil Bupati Lombok Barat..

Nampaknya banjir…"
ruri_satyawati,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
mediaindonesia,BNPB menerbitkan Peringatan Dini ancaman bencana musim penghujan berupa banjir dan tanah bergerak (longsor) di Provinsi Kalimantan Selatan.  https://t.co/pmUTklg3EL
bewara_jabar,"Ditemukan Meninggal, Ibu dan Anak jadi Korban Banjir Bandang dan Longsor Lombok https://t.co/QbFw7sUJyi"
Free_4Palestine,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
